alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,-6.74,1.40,0.00
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,-17.34,3.60,0.00
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,-1.06,0.22,0.00
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,0.00,-0.00,0.00
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,0.00,-0.00,0.00
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,0.00,-0.00,0.00
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,0.00,-0.00,0.00
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,0.00,-0.00,0.00
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,0.00,-0.00,0.00
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,0.00,-0.00,0.00
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,0.00,-0.00,0.00
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,0.00,-0.00,0.00
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,0.00,-0.00,0.00
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,-0.16,0.03,0.00
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,0.02,-0.00,0.00
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,0.00,-0.00,0.00
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,0.00,-0.00,0.00
Yes,0.00,106.07,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,106.21,0.00,0.00,14.93,0.00,0.00,0.00,0x0,0x0,0,0,0.00,-0.00,0.00
