alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,0.00,120.94,21.70,4.88,14.93,3.34,1.86,25.06,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.46,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8961,3.8973,3.8978,3.8986,3.8966,3.8967,3.8950,3.8928,3.8965,3.8969,3.9313,3.8960,3.9203,3.8952,3.8950,3.8939,3.9343,3.9055,3.8949,3.9349,3.8976,3.8817,3.8970,3.8980,3.8978,3.8978,3.8981,3.8979,3.8970,3.8962,3.8966,
Yes,0.00,120.93,21.70,4.88,14.92,3.34,1.86,25.07,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.51,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8961,3.8974,3.8978,3.8986,3.8966,3.8967,3.8950,3.8928,3.8966,3.8970,3.9313,3.8960,3.9204,3.8952,3.8951,3.8941,3.9344,3.9056,3.8950,3.9350,3.8976,3.8818,3.8971,3.8981,3.8979,3.8978,3.8981,3.8981,3.8971,3.8963,3.8967,
Yes,0.00,120.92,21.70,4.88,14.92,3.34,1.86,25.08,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.48,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8961,3.8974,3.8978,3.8987,3.8966,3.8967,3.8950,3.8929,3.8966,3.8969,3.9312,3.8961,3.9204,3.8952,3.8951,3.8941,3.9344,3.9056,3.8950,3.9350,3.8977,3.8818,3.8970,3.8981,3.8979,3.8978,3.8982,3.8980,3.8973,3.8963,3.8967,
Yes,0.00,120.92,21.69,4.88,14.93,3.34,1.86,25.07,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.48,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8963,3.8975,3.8979,3.8987,3.8967,3.8968,3.8950,3.8928,3.8966,3.8970,3.9313,3.8962,3.9204,3.8953,3.8952,3.8941,3.9344,3.9057,3.8950,3.9349,3.8976,3.8818,3.8972,3.8981,3.8979,3.8979,3.8982,3.8980,3.8972,3.8963,3.8967,
Yes,0.00,120.93,21.70,4.88,14.93,3.34,1.86,25.08,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.48,0x0,0x0,0x0,0x0,0x1,0x1,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8962,3.8974,3.8979,3.8988,3.8967,3.8968,3.8950,3.8929,3.8968,3.8971,3.9314,3.8961,3.9205,3.8953,3.8952,3.8941,3.9345,3.9057,3.8950,3.9351,3.8977,3.8818,3.8972,3.8982,3.8980,3.8979,3.8983,3.8981,3.8972,3.8964,3.8968,
Yes,0.00,120.93,21.69,4.88,14.93,3.34,1.86,25.08,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.46,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8962,3.8975,3.8980,3.8987,3.8967,3.8968,3.8951,3.8929,3.8967,3.8971,3.9314,3.8962,3.9204,3.8953,3.8952,3.8942,3.9345,3.9057,3.8951,3.9351,3.8978,3.8818,3.8972,3.8981,3.8980,3.8979,3.8983,3.8980,3.8972,3.8964,3.8967,
Yes,0.00,120.94,21.69,4.88,14.93,3.34,1.86,25.07,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.46,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8962,3.8975,3.8980,3.8988,3.8967,3.8968,3.8950,3.8929,3.8967,3.8970,3.9314,3.8962,3.9205,3.8953,3.8951,3.8941,3.9346,3.9058,3.8952,3.9350,3.8978,3.8818,3.8973,3.8982,3.8981,3.8979,3.8983,3.8981,3.8972,3.8963,3.8968,
Yes,0.00,120.95,21.69,4.88,14.93,3.34,1.86,25.07,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.45,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8962,3.8975,3.8980,3.8988,3.8967,3.8969,3.8951,3.8931,3.8968,3.8972,3.9315,3.8962,3.9205,3.8953,3.8952,3.8942,3.9346,3.9058,3.8952,3.9351,3.8978,3.8819,3.8971,3.8981,3.8980,3.8979,3.8983,3.8981,3.8973,3.8965,3.8968,
Yes,0.00,120.95,21.69,4.88,14.93,3.34,1.86,25.07,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.45,0x0,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8962,3.8975,3.8980,3.8988,3.8967,3.8969,3.8951,3.8931,3.8968,3.8972,3.9315,3.8962,3.9205,3.8953,3.8952,3.8942,3.9346,3.9058,3.8952,3.9351,3.8978,3.8819,3.8971,3.8981,3.8980,3.8979,3.8983,3.8981,3.8973,3.8965,3.8968,
Yes,0.00,120.93,21.69,4.88,14.93,3.34,1.86,25.09,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0x0,0x0,0,0,0.00,0.00,0.00,Neutral,0.00,0.00,0.48,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,3.8963,3.8976,3.8980,3.8988,3.8968,3.8968,3.8951,3.8930,3.8968,3.8972,3.9314,3.8962,3.9205,3.8953,3.8953,3.8942,3.9346,3.9058,3.8952,3.9351,3.8978,3.8820,3.8973,3.8982,3.8981,3.8981,3.8983,3.8982,3.8973,3.8964,3.8969,
