alive_0,bus_current_0,bus_voltage_0,heatsink_temp_0,motor_temp_0,rail_15v_0,rail_3v3_0,rail_1v9_0,dsp_temp_0,error_flags_0,limit_flags_0,rx_error_count_0,tx_error_count_0,motor_velocity_0,vehicle_velocity_0,phase_current_b_0,alive_1,bus_current_1,bus_voltage_1,heatsink_temp_1,motor_temp_1,rail_15v_1,rail_3v3_1,rail_1v9_1,dsp_temp_1,error_flags_1,limit_flags_1,rx_error_count_1,tx_error_count_1,motor_velocity_1,vehicle_velocity_1,phase_current_b_1,drive_mode,throttle_value,regen_value,brake_pedal_value,cruise_down_on,cruise_up_on,reverse_on,horn_on,headlights_on,rearview_on,power_save_on,left_turn_on,right_turn_on,mppt_current_A0,mppt_power_A0,mppt_temp_A0,mppt_vin_A0,mppt_vout_A0,mppt_current_A1,mppt_power_A1,mppt_temp_A1,mppt_vin_A1,mppt_vout_A1,mppt_current_B0,mppt_power_B0,mppt_temp_B0,mppt_vin_B0,mppt_vout_B0,mppt_current_B1,mppt_power_B1,mppt_temp_B1,mppt_vin_B1,mppt_vout_B1,mppt_current_C0,mppt_power_C0,mppt_temp_C0,mppt_vin_C0,mppt_vout_C0,mppt_current_C1,mppt_power_C1,mppt_temp_C1,mppt_vin_C1,mppt_vout_C1,battery_current,charge_enabled,highside_contactor_on,lowside_contactor_on,cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31
Yes,0.00,117.38,28.39,4.88,14.93,3.34,1.86,31.02,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.01,102.18,14.90,3.29,1.86,35.61,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.33,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.181830,1,1,1,3.7804,3.7817,3.7822,3.7834,3.7810,3.7814,3.7791,3.7784,3.7808,3.7814,3.8132,3.7808,3.8001,3.7789,3.7793,3.7773,3.8163,3.7816,3.7795,3.8178,3.7825,3.7659,3.7812,3.7816,3.7811,3.7817,3.7826,3.7821,3.7803,3.7798,3.7800,
Yes,0.00,117.39,28.39,4.88,14.93,3.34,1.86,31.02,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.20,30.01,102.18,14.90,3.29,1.86,35.61,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.33,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182752,1,1,1,3.7803,3.7817,3.7821,3.7833,3.7810,3.7814,3.7789,3.7783,3.7807,3.7814,3.8134,3.7807,3.8001,3.7790,3.7794,3.7774,3.8162,3.7815,3.7795,3.8179,3.7825,3.7659,3.7811,3.7815,3.7811,3.7817,3.7827,3.7821,3.7801,3.7799,3.7799,
Yes,0.00,117.37,28.39,4.88,14.93,3.34,1.86,31.05,0x0,0x0,0,0,-0.06,-0.00,0.00,Yes,0.00,117.20,30.01,102.18,14.91,3.29,1.86,35.61,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.33,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182259,1,1,1,3.7804,3.7819,3.7821,3.7832,3.7810,3.7813,3.7791,3.7785,3.7806,3.7813,3.8132,3.7808,3.8002,3.7789,3.7793,3.7774,3.8161,3.7816,3.7795,3.8178,3.7825,3.7658,3.7812,3.7817,3.7811,3.7817,3.7825,3.7819,3.7802,3.7801,3.7799,
Yes,0.00,117.38,28.39,4.88,14.93,3.34,1.86,31.05,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.01,102.18,14.91,3.29,1.86,35.62,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.33,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182076,1,1,1,3.7805,3.7819,3.7822,3.7834,3.7810,3.7813,3.7791,3.7783,3.7807,3.7814,3.8132,3.7808,3.8002,3.7789,3.7792,3.7773,3.8162,3.7816,3.7795,3.8179,3.7824,3.7659,3.7812,3.7816,3.7811,3.7817,3.7825,3.7821,3.7804,3.7801,3.7800,
Yes,0.00,117.37,28.39,4.88,14.93,3.34,1.86,31.06,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.01,101.90,14.90,3.29,1.86,35.62,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,30.55,0.00,118.78,0.00,0.00,31.33,0.00,118.78,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182390,1,1,1,3.7804,3.7818,3.7821,3.7833,3.7809,3.7813,3.7790,3.7785,3.7807,3.7814,3.8131,3.7807,3.8002,3.7788,3.7793,3.7774,3.8163,3.7816,3.7795,3.8179,3.7825,3.7660,3.7812,3.7816,3.7811,3.7818,3.7826,3.7821,3.7802,3.7799,3.7799,
Yes,0.00,117.38,28.39,4.88,14.93,3.34,1.86,31.06,0x0,0x0,0,0,-0.06,-0.00,0.00,Yes,0.00,117.20,30.01,101.90,14.90,3.29,1.86,35.63,0x0,0x0,0,0,-0.26,-0.02,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.33,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.183046,1,1,1,3.7803,3.7817,3.7821,3.7832,3.7808,3.7812,3.7790,3.7784,3.7806,3.7814,3.8132,3.7807,3.8001,3.7789,3.7792,3.7773,3.8161,3.7814,3.7794,3.8178,3.7824,3.7659,3.7811,3.7816,3.7811,3.7817,3.7826,3.7820,3.7803,3.7801,3.7800,
Yes,0.00,117.38,28.39,4.88,14.93,3.34,1.87,31.06,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.00,102.18,14.91,3.29,1.86,35.62,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,30.55,0.00,118.78,0.00,0.00,31.33,0.00,118.78,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182692,1,1,1,3.7805,3.7819,3.7822,3.7833,3.7810,3.7814,3.7791,3.7786,3.7808,3.7815,3.8133,3.7808,3.8004,3.7790,3.7794,3.7775,3.8164,3.7815,3.7795,3.8180,3.7826,3.7660,3.7813,3.7817,3.7811,3.7818,3.7826,3.7821,3.7804,3.7802,3.7800,
Yes,0.00,117.38,28.39,4.88,14.93,3.34,1.87,31.05,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.01,102.18,14.91,3.29,1.86,35.63,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.33,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182386,1,1,1,3.7803,3.7817,3.7821,3.7833,3.7808,3.7811,3.7790,3.7785,3.7808,3.7814,3.8130,3.7807,3.8001,3.7788,3.7793,3.7773,3.8161,3.7816,3.7794,3.8177,3.7825,3.7658,3.7812,3.7816,3.7811,3.7817,3.7826,3.7819,3.7802,3.7800,3.7799,
Yes,0.00,117.38,28.39,4.88,14.93,3.34,1.87,31.06,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.01,101.90,14.90,3.29,1.86,35.64,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,30.55,0.00,118.76,0.00,0.00,31.33,0.00,118.76,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.26,0.00,0.00,30.78,0.00,119.26,-0.182410,1,1,1,3.7804,3.7818,3.7822,3.7833,3.7810,3.7813,3.7790,3.7784,3.7808,3.7814,3.8133,3.7808,3.8002,3.7789,3.7794,3.7774,3.8162,3.7815,3.7795,3.8178,3.7825,3.7660,3.7812,3.7816,3.7812,3.7818,3.7827,3.7821,3.7803,3.7800,3.7801,
Yes,0.00,117.37,28.39,4.88,14.93,3.34,1.87,31.07,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,117.19,30.01,102.18,14.90,3.29,1.86,35.64,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x1,0x0,0x0,0x0,0x0,0.00,0.00,30.55,0.00,118.78,0.00,0.00,31.33,0.00,118.78,0.00,0.00,29.55,0.00,0.00,0.00,0.00,30.33,0.00,0.00,0.00,0.00,30.00,0.00,119.24,0.00,0.00,30.78,0.00,119.24,-0.182664,1,1,1,3.7803,3.7817,3.7821,3.7833,3.7808,3.7812,3.7791,3.7784,3.7807,3.7814,3.8133,3.7807,3.8002,3.7788,3.7793,3.7773,3.8161,3.7814,3.7793,3.8178,3.7824,3.7657,3.7811,3.7816,3.7810,3.7817,3.7825,3.7819,3.7802,3.7801,3.7799,
