Motor0_HasMotorID,Motor0_BusCurrent,Motor0_BusVoltage,Motor0_HeatsinkTemp,Motor0_MotorTemp,Motor0_Rail15V,Motor0_Rail3V3,Motor0_Rail1V9,Motor0_DSPTemp,Motor0_ErrorFlags,Motor0_LimitFlags,Motor0_ReceiveErrorCount,Motor0_TransmitErrorCount,Motor0_MotorVelocity,Motor0_VehicleVelocity,Motor0_PhaseBCurrent,Motor1_HasMotorID,Motor1_BusCurrent,Motor1_BusVoltage,Motor1_HeatsinkTemp,Motor1_MotorTemp,Motor1_Rail15V,Motor1_Rail3V3,Motor1_Rail1V9,Motor1_DSPTemp,Motor1_ErrorFlags,Motor1_LimitFlags,Motor1_ReceiveErrorCount,Motor1_TransmitErrorCount,Motor1_MotorVelocity,Motor1_VehicleVelocity,Motor1_PhaseBCurrent,DriveMode,ThrottleADC,RegenADC,BrakePedalADC,CruiseDownOn,CruiseUpOn,ReverseOn,HornOn,LockOn,RearviewOn,PowerSaveOn,LeftTurnOn,RightTurnOn,MPPT_A0_Current,MPPT_A0_Power,MPPT_A0_Temperature,MPPT_A0_VoltageIn,MPPT_A0_VoltageOut,MPPT_A1_Current,MPPT_A1_Power,MPPT_A1_Temperature,MPPT_A1_VoltageIn,MPPT_A1_VoltageOut,MPPT_B0_Current,MPPT_B0_Power,MPPT_B0_Temperature,MPPT_B0_VoltageIn,MPPT_B0_VoltageOut,MPPT_B1_Current,MPPT_B1_Power,MPPT_B1_Temperature,MPPT_B1_VoltageIn,MPPT_B1_VoltageOut,MPPT_C0_Current,MPPT_C0_Power,MPPT_C0_Temperature,MPPT_C0_VoltageIn,MPPT_C0_VoltageOut,MPPT_C1_Current,MPPT_C1_Power,MPPT_C1_Temperature,MPPT_C1_VoltageIn,MPPT_C1_VoltageOut,CellVoltages_0,CellVoltages_1,CellVoltages_2,CellVoltages_3,CellVoltages_4,CellVoltages_5,CellVoltages_6,CellVoltages_7,CellVoltages_8,CellVoltages_9,CellVoltages_10,CellVoltages_11,CellVoltages_12,CellVoltages_13,CellVoltages_14,CellVoltages_15,CellVoltages_16,CellVoltages_17,CellVoltages_18,CellVoltages_19,CellVoltages_20,CellVoltages_21,CellVoltages_22,CellVoltages_23,CellVoltages_24,CellVoltages_25,CellVoltages_26,CellVoltages_27,CellVoltages_28,CellVoltages_29,CellVoltages_30,MCP_HighVoltVS_RawData,MCP_HighVoltVS_Voltage,MCP_HighVoltVS_Current,MCP_LowVoltVS_RawData,MCP_LowVoltVS_Voltage,MCP_LowVoltVS_Current,MCP_MC0IS_RawData,MCP_MC0IS_Voltage,MCP_MC0IS_Current,MCP_MC1IS_RawData,MCP_MC1IS_Voltage,MCP_MC1IS_Current,MCP_BattIS_RawData,MCP_BattIS_Voltage,MCP_BattIS_Current,MCP_ArrayIS_RawData,MCP_ArrayIS_Voltage,MCP_ArrayIS_Current,MCP_Initialized,Battery_ChargeEnabled,BoardStatus_HighsideOn,BoardStatus_LowsideOn,BoardStatus_PrechargeOn,BoardStatus_LowVoltageOn,BoardStatus_HighVoltageBuckOn,BoardStatus_BuzzerOn,BoardStatus_HC0ADC,BoardStatus_HC1ADC,Thermistor_RawValue0,Thermistor_Temperature0,Thermistor_RawValue1,Thermistor_Temperature1,Thermistor_RawValue2,Thermistor_Temperature2,Thermistor_RawValue3,Thermistor_Temperature3,Thermistor_RawValue4,Thermistor_Temperature4,Thermistor_RawValue5,Thermistor_Temperature5,Thermistor_RawValue6,Thermistor_Temperature6,Thermistor_RawValue7,Thermistor_Temperature7,Thermistor_RawValue8,Thermistor_Temperature8,Thermistor_RawValue9,Thermistor_Temperature9,Thermistor_RawValue10,Thermistor_Temperature10,Thermistor_RawValue11,Thermistor_Temperature11,Thermistor_RawValue12,Thermistor_Temperature12,Thermistor_RawValue13,Thermistor_Temperature13,Thermistor_RawValue14,Thermistor_Temperature14,Thermistor_RawValue15,Thermistor_Temperature15,Thermistor_RawValue16,Thermistor_Temperature16,Thermistor_RawValue17,Thermistor_Temperature17,Thermistor_RawValue18,Thermistor_Temperature18,Thermistor_RawValue19,Thermistor_Temperature19,Thermistor_RawValue20,Thermistor_Temperature20,Thermistor_RawValue21,Thermistor_Temperature21,Thermistor_RawValue22,Thermistor_Temperature22,Thermistor_RawValue23,Thermistor_Temperature23,Thermistor_RawValue24,Thermistor_Temperature24,Thermistor_RawValue25,Thermistor_Temperature25,Thermistor_RawValue26,Thermistor_Temperature26,Thermistor_RawValue27,Thermistor_Temperature27,Thermistor_RawValue28,Thermistor_Temperature28,Thermistor_RawValue29,Thermistor_Temperature29,Thermistor_RawValue30,Thermistor_Temperature30,Thermistor_RawValue31,Thermistor_Temperature31,Thermistor_MaxTemp,Battery_MinCellVoltage,Battery_MaxCellVoltage,Battery_ThrottleCurrentLimit,Battery_RegenCurrentLimit
Yes,0.00,102.40,21.83,24.91,14.92,3.34,1.86,24.96,0x0,0x0,0,0,70.49,4.57,0.00,Yes,0.00,102.40,24.07,24.75,14.90,3.29,1.86,30.63,0x0,0x0,0,0,63.83,4.14,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.2473,3.3108,3.3146,3.3160,3.3124,3.3116,3.3046,3.3035,3.3110,3.3110,3.3254,3.2515,3.2560,3.3096,3.3071,3.3079,3.2959,3.2019,3.3090,3.2996,3.3186,3.3135,3.2523,3.3166,3.3183,3.3183,3.3165,3.3160,3.3144,3.3113,3.3016,4651256,102.79,205570.98,5924072,13.11,26216.78,74049,-0.00,-0.00,73893,-0.00,-0.02,89599,0.00,0.22,151120,-0.00,-0.00,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,1844.00,29.61,1972.00,26.69,1952.00,27.14,1782.00,31.05,1763.00,31.50,1819.00,30.19,1932.00,27.60,1967.00,26.80,1989.00,26.31,1973.00,26.67,1987.00,26.35,1874.00,28.92,1852.00,29.42,1885.00,28.67,1955.00,27.07,1931.00,27.62,1874.00,28.92,1936.00,27.50,1987.00,26.35,1851.00,29.45,1888.00,28.60,1887.00,28.62,1852.00,29.42,4095.00,-165.16,1961.00,26.94,1914.00,28.00,1798.00,30.68,1759.00,31.59,1816.00,30.26,1799.00,30.66,1926.00,27.73,1969.00,26.76,0.00,3.20,3.33,1.00,1.00,
Yes,0.00,102.40,21.82,24.91,14.92,3.34,1.86,24.96,0x0,0x0,0,0,60.02,3.89,0.00,Yes,0.00,102.38,24.07,24.75,14.90,3.29,1.86,30.62,0x0,0x0,0,0,55.52,3.60,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.2472,3.3108,3.3145,3.3161,3.3125,3.3116,3.3047,3.3036,3.3111,3.3110,3.3256,3.2515,3.2560,3.3096,3.3072,3.3080,3.2960,3.2020,3.3091,3.2997,3.3188,3.3137,3.2523,3.3167,3.3183,3.3183,3.3165,3.3161,3.3145,3.3114,3.3016,4651415,102.79,205578.03,5923993,13.11,26216.43,73959,-0.00,-0.00,73852,-0.00,-0.02,89187,0.00,0.22,151070,-0.00,-0.00,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,1844.00,29.61,1971.00,26.71,1951.00,27.16,1782.00,31.05,1763.00,31.50,1816.00,30.26,1931.00,27.62,1964.00,26.87,1990.00,26.29,1969.00,26.76,1985.00,26.40,1872.00,28.96,1853.00,29.40,1884.00,28.69,1955.00,27.07,1933.00,27.57,1873.00,28.94,1937.00,27.48,1984.00,26.42,1850.00,29.47,1893.00,28.48,1888.00,28.60,1852.00,29.42,4090.00,-81.09,1956.00,27.05,1916.00,27.96,1800.00,30.63,1760.00,31.57,1815.00,30.28,1798.00,30.68,1925.00,27.75,1971.00,26.71,0.00,3.20,3.33,1.00,1.00,
Yes,0.00,102.40,21.82,24.91,14.92,3.34,1.86,24.97,0x0,0x0,0,0,50.43,3.27,0.00,Yes,0.00,102.38,24.07,24.75,14.90,3.29,1.86,30.63,0x0,0x0,0,0,47.97,3.11,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.2473,3.3109,3.3145,3.3160,3.3122,3.3114,3.3047,3.3035,3.3109,3.3110,3.3255,3.2514,3.2558,3.3095,3.3070,3.3078,3.2958,3.2020,3.3090,3.2996,3.3186,3.3134,3.2522,3.3166,3.3181,3.3182,3.3163,3.3158,3.3143,3.3113,3.3015,4650199,102.76,205524.19,5924494,13.11,26218.66,74022,-0.00,-0.00,73023,-0.00,-0.01,89474,0.00,0.22,151176,-0.00,-0.00,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,1843.00,29.63,1974.00,26.65,1952.00,27.14,1783.00,31.03,1762.00,31.52,1818.00,30.21,1930.00,27.64,1966.00,26.83,1990.00,26.29,1972.00,26.69,1986.00,26.38,1875.00,28.90,1851.00,29.45,1884.00,28.69,1956.00,27.05,1928.00,27.69,1871.00,28.99,1940.00,27.41,1986.00,26.38,1850.00,29.47,1890.00,28.55,1889.00,28.57,1852.00,29.42,4091.00,-83.54,1958.00,27.01,1916.00,27.96,1801.00,30.61,1759.00,31.59,1816.00,30.26,1798.00,30.68,1924.00,27.78,1970.00,26.74,0.00,3.20,3.33,1.00,1.00,
Yes,0.00,102.40,21.82,24.91,14.92,3.34,1.86,24.97,0x0,0x0,0,0,31.44,2.04,0.00,Yes,0.00,102.38,24.07,24.75,14.90,3.29,1.86,30.64,0x0,0x0,0,0,33.36,2.16,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.2473,3.3109,3.3146,3.3160,3.3123,3.3114,3.3047,3.3036,3.3111,3.3110,3.3254,3.2515,3.2560,3.3095,3.3070,3.3078,3.2958,3.2019,3.3091,3.2996,3.3186,3.3134,3.2524,3.3168,3.3183,3.3183,3.3163,3.3159,3.3146,3.3114,3.3017,4651145,102.78,205566.08,5924120,13.11,26217.00,74042,-0.00,-0.00,74526,-0.00,-0.02,89662,0.00,0.22,151128,-0.00,-0.00,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,1845.00,29.59,1973.00,26.67,1952.00,27.14,1780.00,31.10,1764.00,31.48,1818.00,30.21,1933.00,27.57,1967.00,26.80,1992.00,26.24,1972.00,26.69,1988.00,26.33,1874.00,28.92,1850.00,29.47,1883.00,28.71,1955.00,27.07,1931.00,27.62,1873.00,28.94,1939.00,27.44,1984.00,26.42,1850.00,29.47,1892.00,28.51,1889.00,28.57,1851.00,29.45,4092.00,-86.62,1956.00,27.05,1917.00,27.94,1796.00,30.73,1761.00,31.55,1817.00,30.24,1802.00,30.59,1925.00,27.75,1971.00,26.71,0.00,3.20,3.33,1.00,1.00,
Yes,0.00,102.39,21.83,24.91,14.92,3.34,1.86,24.99,0x0,0x0,0,0,22.62,1.47,0.00,Yes,0.00,102.38,24.07,24.75,14.90,3.29,1.86,30.64,0x0,0x0,0,0,26.50,1.72,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.2472,3.3107,3.3146,3.3162,3.3124,3.3114,3.3046,3.3035,3.3110,3.3111,3.3255,3.2516,3.2561,3.3095,3.3071,3.3078,3.2958,3.2021,3.3091,3.2997,3.3188,3.3136,3.2524,3.3168,3.3183,3.3184,3.3165,3.3160,3.3145,3.3114,3.3016,4650939,102.78,205556.95,5924292,13.11,26217.76,74074,-0.00,-0.00,73458,-0.00,-0.01,89614,0.00,0.22,151380,0.00,0.00,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,1843.00,29.63,1972.00,26.69,1951.00,27.16,1781.00,31.08,1764.00,31.48,1816.00,30.26,1930.00,27.64,1966.00,26.83,1991.00,26.26,1972.00,26.69,1986.00,26.38,1876.00,28.87,1850.00,29.47,1885.00,28.67,1954.00,27.10,1933.00,27.57,1875.00,28.90,1939.00,27.44,1985.00,26.40,1851.00,29.45,1889.00,28.57,1889.00,28.57,1851.00,29.45,4092.00,-86.62,1957.00,27.03,1915.00,27.98,1802.00,30.59,1760.00,31.57,1815.00,30.28,1801.00,30.61,1925.00,27.75,1970.00,26.74,0.00,3.20,3.33,1.00,1.00,
Yes,0.00,102.40,21.82,24.91,14.92,3.34,1.86,24.97,0x0,0x0,0,0,14.11,0.92,0.00,Yes,0.00,102.39,24.07,24.75,14.90,3.29,1.86,30.63,0x0,0x0,0,0,19.34,1.25,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.2472,3.3109,3.3147,3.3161,3.3125,3.3115,3.3046,3.3036,3.3111,3.3111,3.3256,3.2515,3.2561,3.3096,3.3072,3.3079,3.2959,3.2020,3.3091,3.2997,3.3187,3.3136,3.2523,3.3167,3.3184,3.3183,3.3164,3.3161,3.3145,3.3114,3.3015,4651200,102.78,205568.50,5924122,13.11,26217.01,74063,-0.00,-0.00,73489,-0.00,-0.01,89546,0.00,0.22,151054,-0.00,-0.00,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,1843.00,29.63,1971.00,26.71,1952.00,27.14,1782.00,31.05,1765.00,31.45,1818.00,30.21,1931.00,27.62,1968.00,26.78,1990.00,26.29,1970.00,26.74,1987.00,26.35,1874.00,28.92,1851.00,29.45,1885.00,28.67,1956.00,27.05,1931.00,27.62,1875.00,28.90,1938.00,27.46,1986.00,26.38,1851.00,29.45,1890.00,28.55,1885.00,28.67,1852.00,29.42,4094.00,-97.73,1960.00,26.96,1914.00,28.00,1800.00,30.63,1759.00,31.59,1815.00,30.28,1800.00,30.63,1925.00,27.75,1970.00,26.74,0.00,3.20,3.33,1.00,1.00,
Yes,0.00,102.39,21.82,24.91,14.92,3.34,1.86,24.99,0x0,0x0,0,0,5.62,0.36,0.00,Yes,0.00,102.40,24.07,24.75,14.90,3.29,1.86,30.64,0x0,0x0,0,0,14.10,0.91,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.2473,3.3109,3.3145,3.3160,3.3124,3.3113,3.3047,3.3036,3.3111,3.3111,3.3256,3.2516,3.2561,3.3096,3.3070,3.3077,3.2958,3.2020,3.3092,3.2996,3.3186,3.3134,3.2523,3.3168,3.3183,3.3183,3.3164,3.3160,3.3146,3.3116,3.3016,4651155,102.78,205566.52,5923960,13.11,26216.29,74111,-0.00,-0.00,73461,-0.00,-0.01,89534,0.00,0.22,151450,0.00,0.00,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,1844.00,29.61,1973.00,26.67,1950.00,27.19,1779.00,31.12,1761.00,31.55,1818.00,30.21,1930.00,27.64,1965.00,26.85,1990.00,26.29,1971.00,26.71,1988.00,26.33,1873.00,28.94,1851.00,29.45,1884.00,28.69,1955.00,27.07,1931.00,27.62,1874.00,28.92,1938.00,27.46,1986.00,26.38,1851.00,29.45,1894.00,28.46,1890.00,28.55,1852.00,29.42,4091.00,-83.54,1958.00,27.01,1917.00,27.94,1799.00,30.66,1759.00,31.59,1817.00,30.24,1802.00,30.59,1927.00,27.71,1970.00,26.74,0.00,3.20,3.33,1.00,1.00,
Yes,0.00,102.40,21.82,24.91,14.92,3.34,1.86,24.98,0x0,0x0,0,0,-0.00,-0.00,0.00,Yes,0.00,102.39,24.07,24.75,14.90,3.29,1.86,30.63,0x0,0x0,0,0,7.99,0.52,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.2470,3.3106,3.3145,3.3160,3.3124,3.3115,3.3045,3.3034,3.3109,3.3111,3.3255,3.2513,3.2558,3.3096,3.3071,3.3079,3.2959,3.2019,3.3090,3.2996,3.3187,3.3137,3.2521,3.3165,3.3182,3.3182,3.3164,3.3161,3.3142,3.3113,3.3015,4651301,102.79,205572.98,5923876,13.11,26215.91,73860,-0.00,-0.00,73521,-0.00,-0.01,89760,0.00,0.22,151607,0.00,0.00,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,1843.00,29.63,1974.00,26.65,1952.00,27.14,1782.00,31.05,1763.00,31.50,1818.00,30.21,1931.00,27.62,1967.00,26.80,1989.00,26.31,1971.00,26.71,1986.00,26.38,1874.00,28.92,1851.00,29.45,1884.00,28.69,1954.00,27.10,1931.00,27.62,1875.00,28.90,1939.00,27.44,1983.00,26.44,1854.00,29.38,1891.00,28.53,1888.00,28.60,1853.00,29.40,4091.00,-83.54,1959.00,26.98,1915.00,27.98,1801.00,30.61,1761.00,31.55,1815.00,30.28,1801.00,30.61,1924.00,27.78,1969.00,26.76,0.00,3.20,3.33,1.00,1.00,
Yes,0.00,102.40,21.82,24.91,14.92,3.34,1.86,24.97,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,102.39,24.06,24.75,14.90,3.29,1.86,30.63,0x0,0x0,0,0,0.65,0.04,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.2473,3.3109,3.3145,3.3161,3.3123,3.3113,3.3047,3.3035,3.3109,3.3111,3.3254,3.2516,3.2560,3.3096,3.3072,3.3079,3.2959,3.2020,3.3090,3.2996,3.3186,3.3134,3.2524,3.3167,3.3182,3.3182,3.3163,3.3159,3.3145,3.3114,3.3015,4650121,102.76,205520.73,5924528,13.11,26218.81,73977,-0.00,-0.00,73205,-0.00,-0.01,89214,0.00,0.22,151175,-0.00,-0.00,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,1842.00,29.66,1971.00,26.71,1950.00,27.19,1784.00,31.01,1764.00,31.48,1815.00,30.28,1929.00,27.66,1966.00,26.83,1990.00,26.29,1969.00,26.76,1986.00,26.38,1875.00,28.90,1852.00,29.42,1881.00,28.76,1955.00,27.07,1932.00,27.60,1873.00,28.94,1938.00,27.46,1985.00,26.40,1851.00,29.45,1890.00,28.55,1887.00,28.62,1853.00,29.40,4092.00,-86.62,1958.00,27.01,1916.00,27.96,1797.00,30.70,1759.00,31.59,1817.00,30.24,1798.00,30.68,1926.00,27.73,1971.00,26.71,0.00,3.20,3.33,1.00,1.00,
Yes,0.00,102.40,21.82,24.91,14.92,3.34,1.86,24.98,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,102.39,24.07,24.75,14.90,3.29,1.86,30.65,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.2471,3.3108,3.3146,3.3161,3.3124,3.3116,3.3045,3.3035,3.3110,3.3112,3.3256,3.2514,3.2559,3.3096,3.3071,3.3079,3.2959,3.2019,3.3091,3.2996,3.3187,3.3136,3.2522,3.3167,3.3184,3.3183,3.3166,3.3162,3.3143,3.3113,3.3016,4650575,102.77,205540.84,5924319,13.11,26217.88,74262,-0.00,-0.01,73332,-0.00,-0.01,89090,0.00,0.22,151911,0.00,0.00,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,1843.00,29.63,1971.00,26.71,1953.00,27.12,1782.00,31.05,1763.00,31.50,1818.00,30.21,1931.00,27.62,1966.00,26.83,1992.00,26.24,1972.00,26.69,1988.00,26.33,1876.00,28.87,1851.00,29.45,1883.00,28.71,1954.00,27.10,1932.00,27.60,1872.00,28.96,1939.00,27.44,1986.00,26.38,1850.00,29.47,1890.00,28.55,1890.00,28.55,1855.00,29.36,4093.00,-90.84,1956.00,27.05,1916.00,27.96,1800.00,30.63,1759.00,31.59,1814.00,30.31,1798.00,30.68,1924.00,27.78,1972.00,26.69,0.00,3.20,3.33,1.00,1.00,
