Motor0_HasMotorID,Motor0_BusCurrent,Motor0_BusVoltage,Motor0_HeatsinkTemp,Motor0_MotorTemp,Motor0_Rail15V,Motor0_Rail3V3,Motor0_Rail1V9,Motor0_DSPTemp,Motor0_ErrorFlags,Motor0_LimitFlags,Motor0_ReceiveErrorCount,Motor0_TransmitErrorCount,Motor0_MotorVelocity,Motor0_VehicleVelocity,Motor0_PhaseBCurrent,Motor1_HasMotorID,Motor1_BusCurrent,Motor1_BusVoltage,Motor1_HeatsinkTemp,Motor1_MotorTemp,Motor1_Rail15V,Motor1_Rail3V3,Motor1_Rail1V9,Motor1_DSPTemp,Motor1_ErrorFlags,Motor1_LimitFlags,Motor1_ReceiveErrorCount,Motor1_TransmitErrorCount,Motor1_MotorVelocity,Motor1_VehicleVelocity,Motor1_PhaseBCurrent,DriveMode,ThrottleADC,RegenADC,BrakePedalADC,CruiseDownOn,CruiseUpOn,ReverseOn,HornOn,LockOn,RearviewOn,PowerSaveOn,LeftTurnOn,RightTurnOn,MPPT_A0_Current,MPPT_A0_Power,MPPT_A0_Temperature,MPPT_A0_VoltageIn,MPPT_A0_VoltageOut,MPPT_A1_Current,MPPT_A1_Power,MPPT_A1_Temperature,MPPT_A1_VoltageIn,MPPT_A1_VoltageOut,MPPT_B0_Current,MPPT_B0_Power,MPPT_B0_Temperature,MPPT_B0_VoltageIn,MPPT_B0_VoltageOut,MPPT_B1_Current,MPPT_B1_Power,MPPT_B1_Temperature,MPPT_B1_VoltageIn,MPPT_B1_VoltageOut,MPPT_C0_Current,MPPT_C0_Power,MPPT_C0_Temperature,MPPT_C0_VoltageIn,MPPT_C0_VoltageOut,MPPT_C1_Current,MPPT_C1_Power,MPPT_C1_Temperature,MPPT_C1_VoltageIn,MPPT_C1_VoltageOut,CellVoltages_0,CellVoltages_1,CellVoltages_2,CellVoltages_3,CellVoltages_4,CellVoltages_5,CellVoltages_6,CellVoltages_7,CellVoltages_8,CellVoltages_9,CellVoltages_10,CellVoltages_11,CellVoltages_12,CellVoltages_13,CellVoltages_14,CellVoltages_15,CellVoltages_16,CellVoltages_17,CellVoltages_18,CellVoltages_19,CellVoltages_20,CellVoltages_21,CellVoltages_22,CellVoltages_23,CellVoltages_24,CellVoltages_25,CellVoltages_26,CellVoltages_27,CellVoltages_28,CellVoltages_29,CellVoltages_30,MCP_HighVoltVS_RawData,MCP_HighVoltVS_Voltage,MCP_HighVoltVS_Current,MCP_LowVoltVS_RawData,MCP_LowVoltVS_Voltage,MCP_LowVoltVS_Current,MCP_MC0IS_RawData,MCP_MC0IS_Voltage,MCP_MC0IS_Current,MCP_MC1IS_RawData,MCP_MC1IS_Voltage,MCP_MC1IS_Current,MCP_BattIS_RawData,MCP_BattIS_Voltage,MCP_BattIS_Current,MCP_ArrayIS_RawData,MCP_ArrayIS_Voltage,MCP_ArrayIS_Current,MCP_Initialized,Battery_ChargeEnabled,BoardStatus_HighsideOn,BoardStatus_LowsideOn,BoardStatus_PrechargeOn,BoardStatus_LowVoltageOn,BoardStatus_HighVoltageBuckOn,BoardStatus_BuzzerOn,BoardStatus_HC0ADC,BoardStatus_HC1ADC,Thermistor_RawValue0,Thermistor_Temperature0,Thermistor_RawValue1,Thermistor_Temperature1,Thermistor_RawValue2,Thermistor_Temperature2,Thermistor_RawValue3,Thermistor_Temperature3,Thermistor_RawValue4,Thermistor_Temperature4,Thermistor_RawValue5,Thermistor_Temperature5,Thermistor_RawValue6,Thermistor_Temperature6,Thermistor_RawValue7,Thermistor_Temperature7,Thermistor_RawValue8,Thermistor_Temperature8,Thermistor_RawValue9,Thermistor_Temperature9,Thermistor_RawValue10,Thermistor_Temperature10,Thermistor_RawValue11,Thermistor_Temperature11,Thermistor_RawValue12,Thermistor_Temperature12,Thermistor_RawValue13,Thermistor_Temperature13,Thermistor_RawValue14,Thermistor_Temperature14,Thermistor_RawValue15,Thermistor_Temperature15,Thermistor_RawValue16,Thermistor_Temperature16,Thermistor_RawValue17,Thermistor_Temperature17,Thermistor_RawValue18,Thermistor_Temperature18,Thermistor_RawValue19,Thermistor_Temperature19,Thermistor_RawValue20,Thermistor_Temperature20,Thermistor_RawValue21,Thermistor_Temperature21,Thermistor_RawValue22,Thermistor_Temperature22,Thermistor_RawValue23,Thermistor_Temperature23,Thermistor_RawValue24,Thermistor_Temperature24,Thermistor_RawValue25,Thermistor_Temperature25,Thermistor_RawValue26,Thermistor_Temperature26,Thermistor_RawValue27,Thermistor_Temperature27,Thermistor_RawValue28,Thermistor_Temperature28,Thermistor_RawValue29,Thermistor_Temperature29,Thermistor_RawValue30,Thermistor_Temperature30,Thermistor_RawValue31,Thermistor_Temperature31,Thermistor_MaxTemp,Battery_MinCellVoltage,Battery_MaxCellVoltage,Battery_ThrottleCurrentLimit,Battery_RegenCurrentLimit,BMS_Flags,BMS_State
Yes,0.00,117.60,27.56,34.96,14.92,3.34,1.86,29.32,0x0,0x0,0,0,327.39,21.23,0.00,Yes,0.00,117.48,28.63,28.07,14.90,3.29,1.86,33.54,0x0,0x0,0,0,327.71,21.25,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.7325,3.7910,3.7912,3.7921,3.7909,3.7915,3.7887,3.7895,3.7899,3.7912,3.8375,3.7307,3.8122,3.7899,3.7898,3.7871,3.8263,3.7934,3.7908,3.8285,3.7935,3.7894,3.7275,3.7908,3.7898,3.7905,3.7917,3.7914,3.7896,3.7893,3.7749,5291076,118.0503,236100.55,5290231,11.7284,23456.71,71711,0.00,0.006373,68801,0.00,0.002126,71748,0.00,0.013926,142415,0.00,0.006604,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,930.00,55.45,1103.00,49.40,1050.00,51.16,931.00,55.41,913.00,56.09,923.00,55.71,1013.00,52.43,1103.00,49.40,1259.00,44.59,1178.00,47.02,1143.00,48.12,1125.00,48.69,1016.00,52.33,1001.00,52.85,1063.00,50.72,1139.00,48.24,1083.00,50.05,1126.00,48.66,1190.00,46.65,1073.00,50.39,1200.00,46.35,1191.00,46.62,1071.00,50.45,4093.00,-90.84,1060.00,50.82,1000.00,52.89,935.00,55.26,911.00,56.17,971.00,53.93,969.00,54.00,1043.00,51.40,1119.00,48.88,56.17,3.73,3.84,1.00,1.00,0x0,6,
Yes,0.00,117.62,27.55,34.89,14.92,3.34,1.86,29.31,0x0,0x0,0,0,322.04,20.88,0.00,Yes,0.00,117.50,28.63,28.07,14.90,3.29,1.86,33.54,0x0,0x0,0,0,320.18,20.76,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.7329,3.7913,3.7916,3.7925,3.7913,3.7919,3.7890,3.7898,3.7904,3.7917,3.8378,3.7311,3.8127,3.7903,3.7902,3.7874,3.8267,3.7938,3.7911,3.8288,3.7938,3.7898,3.7279,3.7912,3.7902,3.7909,3.7920,3.7919,3.7901,3.7897,3.7754,5291642,118.0629,236125.84,5291977,11.7322,23464.44,71786,0.00,0.005456,68765,0.00,0.002569,71594,0.00,0.012024,142430,0.00,0.006512,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,932.00,55.37,1102.00,49.43,1051.00,51.12,932.00,55.37,913.00,56.09,922.00,55.75,1015.00,52.36,1102.00,49.43,1260.00,44.56,1178.00,47.02,1144.00,48.08,1124.00,48.72,1016.00,52.33,1002.00,52.82,1062.00,50.75,1140.00,48.21,1083.00,50.05,1126.00,48.66,1190.00,46.65,1073.00,50.39,1200.00,46.35,1191.00,46.62,1073.00,50.39,4092.00,-86.62,1060.00,50.82,1000.00,52.89,936.00,55.22,912.00,56.13,970.00,53.97,970.00,53.97,1044.00,51.36,1117.00,48.95,56.09,3.73,3.84,1.00,1.00,0x0,6,
Yes,-1.24,118.95,27.54,34.89,14.92,3.34,1.86,29.32,0x0,0x10,0,0,312.01,20.23,5.27,Yes,-1.68,119.07,28.64,28.07,14.90,3.29,1.86,33.56,0x0,0x10,0,0,312.05,20.24,6.05,Manual,0.00,0.31,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.7535,3.8113,3.8138,3.8151,3.8172,3.8162,3.8102,3.8123,3.8119,3.8134,3.8634,3.7509,3.8429,3.8113,3.8123,3.8105,3.8598,3.8160,3.8098,3.8494,3.8188,3.8126,3.7469,3.8129,3.8118,3.8125,3.8174,3.8199,3.8138,3.8093,3.7945,5348918,119.3425,238684.92,5274158,11.6928,23385.64,-59576,0.00,1.612092,-64363,0.00,1.642685,-193558,-0.00,-3.261638,142139,0.00,0.008299,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,931.00,55.41,1104.00,49.37,1050.00,51.16,931.00,55.41,913.00,56.09,922.00,55.75,1016.00,52.33,1102.00,49.43,1260.00,44.56,1177.00,47.05,1145.00,48.05,1125.00,48.69,1017.00,52.29,1002.00,52.82,1062.00,50.75,1139.00,48.24,1081.00,50.12,1126.00,48.66,1191.00,46.62,1073.00,50.39,1200.00,46.35,1188.00,46.72,1069.00,50.52,4094.00,-97.73,1063.00,50.72,1000.00,52.89,937.00,55.18,912.00,56.13,968.00,54.04,971.00,53.93,1044.00,51.36,1118.00,48.91,56.13,3.75,3.86,1.00,1.00,0x0,6,
Yes,0.00,117.67,27.53,34.89,14.92,3.34,1.86,29.39,0x0,0x0,0,0,19.16,1.24,0.00,Yes,0.00,117.55,28.70,28.07,14.90,3.29,1.86,33.58,0x0,0x0,0,0,19.04,1.23,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.7348,3.7931,3.7934,3.7942,3.7930,3.7934,3.7909,3.7917,3.7922,3.7934,3.8398,3.7328,3.8144,3.7919,3.7919,3.7893,3.8288,3.7957,3.7928,3.8307,3.7956,3.7916,3.7297,3.7931,3.7921,3.7927,3.7938,3.7936,3.7919,3.7916,3.7773,5294103,118.1179,236235.80,5291869,11.7320,23463.96,72056,0.00,0.002154,69048,-0.00,-0.000917,71658,0.00,0.012815,142822,0.00,0.004104,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,933.00,55.33,1103.00,49.40,1051.00,51.12,931.00,55.41,912.00,56.13,923.00,55.71,1015.00,52.36,1102.00,49.43,1262.00,44.50,1178.00,47.02,1142.00,48.15,1125.00,48.69,1015.00,52.36,1001.00,52.85,1064.00,50.69,1141.00,48.18,1082.00,50.09,1126.00,48.66,1191.00,46.62,1075.00,50.32,1202.00,46.29,1191.00,46.62,1073.00,50.39,4092.00,-86.62,1060.00,50.82,999.00,52.93,935.00,55.26,912.00,56.13,969.00,54.00,969.00,54.00,1043.00,51.40,1118.00,48.91,56.13,3.73,3.84,1.00,1.00,0x0,6,
Yes,0.00,117.67,27.55,34.89,14.92,3.34,1.86,29.40,0x0,0x0,0,0,8.98,0.58,0.00,Yes,0.00,117.54,28.71,28.07,14.90,3.29,1.86,33.59,0x0,0x0,0,0,9.11,0.59,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.7349,3.7934,3.7937,3.7944,3.7932,3.7936,3.7909,3.7919,3.7924,3.7936,3.8400,3.7329,3.8145,3.7920,3.7920,3.7894,3.8288,3.7958,3.7929,3.8307,3.7956,3.7916,3.7297,3.7932,3.7922,3.7929,3.7940,3.7938,3.7921,3.7918,3.7774,5294250,118.1212,236242.36,5294688,11.7382,23476.42,71888,0.00,0.004208,69019,-0.00,-0.000560,71803,0.00,0.014605,142756,0.00,0.004509,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,930.00,55.45,1102.00,49.43,1050.00,51.16,930.00,55.45,912.00,56.13,923.00,55.71,1014.00,52.40,1104.00,49.37,1261.00,44.53,1178.00,47.02,1143.00,48.12,1125.00,48.69,1017.00,52.29,1003.00,52.78,1064.00,50.69,1140.00,48.21,1082.00,50.09,1127.00,48.62,1191.00,46.62,1073.00,50.39,1200.00,46.35,1190.00,46.65,1072.00,50.42,4092.00,-86.62,1061.00,50.79,998.00,52.96,937.00,55.18,913.00,56.09,969.00,54.00,969.00,54.00,1041.00,51.46,1115.00,49.01,56.13,3.73,3.84,1.00,1.00,0x0,6,
Yes,0.00,117.68,27.56,34.89,14.92,3.34,1.86,29.42,0x0,0x0,0,0,2.86,0.19,0.00,Yes,0.00,117.54,28.72,28.07,14.90,3.29,1.86,33.59,0x0,0x0,0,0,2.78,0.18,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.7351,3.7934,3.7937,3.7946,3.7933,3.7937,3.7911,3.7920,3.7925,3.7936,3.8401,3.7329,3.8146,3.7921,3.7921,3.7895,3.8290,3.7959,3.7931,3.8308,3.7958,3.7918,3.7299,3.7934,3.7924,3.7931,3.7942,3.7939,3.7921,3.7917,3.7775,5294456,118.1258,236251.58,5292363,11.7331,23466.14,71828,0.00,0.004942,69001,-0.00,-0.000338,71688,0.00,0.013185,142379,0.00,0.006825,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,933.00,55.33,1103.00,49.40,1051.00,51.12,929.00,55.48,913.00,56.09,922.00,55.75,1016.00,52.33,1104.00,49.37,1261.00,44.53,1178.00,47.02,1143.00,48.12,1126.00,48.66,1016.00,52.33,1000.00,52.89,1062.00,50.75,1140.00,48.21,1080.00,50.15,1125.00,48.69,1190.00,46.65,1073.00,50.39,1200.00,46.35,1192.00,46.59,1074.00,50.35,4092.00,-86.62,1061.00,50.79,1000.00,52.89,936.00,55.22,915.00,56.02,970.00,53.97,971.00,53.93,1043.00,51.40,1116.00,48.98,56.09,3.73,3.84,1.00,1.00,0x0,6,
Yes,11.64,113.74,27.58,34.89,14.92,3.34,1.86,29.43,0x0,0x2,0,0,9.71,0.63,42.96,Yes,4.72,106.13,28.74,28.14,14.90,3.29,1.86,33.61,0x0,0x2,0,0,9.01,0.58,50.01,Manual,0.91,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.4312,3.4713,3.4635,3.4879,3.4547,3.4804,3.4699,3.4181,3.4742,3.4997,3.5133,3.4356,3.3208,3.4764,3.4887,3.4914,3.3919,3.4577,3.4921,3.5258,3.4531,3.5029,3.4471,3.4413,3.4952,3.5360,3.5268,3.5086,3.4277,3.4790,3.5181,4930225,109.9889,219977.83,5278080,11.7015,23402.98,903885,-0.01,-10.171617,899595,-0.01,-10.233128,1737618,0.01,20.581358,141860,0.00,0.010013,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,930.00,55.45,1102.00,49.43,1050.00,51.16,931.00,55.41,911.00,56.17,926.00,55.60,1019.00,52.22,1105.00,49.33,1266.00,44.39,1181.00,46.93,1146.00,48.02,1126.00,48.66,1016.00,52.33,1001.00,52.85,1063.00,50.72,1137.00,48.31,1082.00,50.09,1127.00,48.62,1193.00,46.56,1071.00,50.45,1200.00,46.35,1191.00,46.62,1072.00,50.42,4091.00,-83.54,1061.00,50.79,1000.00,52.89,937.00,55.18,916.00,55.98,968.00,54.04,970.00,53.97,1043.00,51.40,1116.00,48.98,56.13,3.32,3.54,1.00,1.00,0x0,6,
Yes,20.34,110.57,27.58,34.89,14.89,3.33,1.87,29.43,0x0,0x2,0,0,46.51,3.02,56.41,Yes,9.41,99.33,28.74,28.14,14.89,3.29,1.86,33.59,0x0,0x2,0,0,45.03,2.92,57.73,Manual,0.91,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.3559,3.4029,3.3849,3.4134,3.3623,3.3712,3.4147,3.3667,3.3935,3.4247,3.4133,3.3682,3.2145,3.4057,3.4161,3.4067,3.2562,3.3983,3.4257,3.4460,3.3734,3.4112,3.3755,3.3484,3.3707,3.4022,3.3620,3.3093,3.3581,3.3857,3.4054,4827298,107.6895,215379.08,5277906,11.7011,23402.21,1076909,-0.01,-12.287805,1187123,-0.01,-13.775428,2198313,0.01,26.269266,143884,-0.00,-0.002420,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,936.00,55.22,1108.00,49.24,1056.00,50.96,929.00,55.48,918.00,55.90,927.00,55.56,1018.00,52.26,1108.00,49.24,1267.00,44.36,1183.00,46.87,1144.00,48.08,1120.00,48.85,1013.00,52.43,1005.00,52.71,1065.00,50.65,1143.00,48.12,1083.00,50.05,1126.00,48.66,1190.00,46.65,1075.00,50.32,1200.00,46.35,1191.00,46.62,1074.00,50.35,4090.00,-81.09,1064.00,50.69,1002.00,52.82,939.00,55.11,915.00,56.02,972.00,53.89,973.00,53.86,1047.00,51.26,1119.00,48.88,56.02,3.21,3.45,1.00,1.00,0x0,6,
Yes,11.33,108.41,27.60,34.89,14.89,3.33,1.87,29.43,0x0,0x2,0,0,88.20,5.72,47.38,Yes,4.49,113.94,28.76,28.14,14.89,3.29,1.86,33.61,0x0,0x2,0,0,87.65,5.68,28.86,Manual,0.01,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.4787,3.4863,3.5230,3.5563,3.4580,3.4765,3.5263,3.4447,3.5289,3.5645,3.5099,3.4844,3.3455,3.5356,3.5579,3.4913,3.4011,3.5167,3.5039,3.5770,3.5331,3.4979,3.4926,3.4569,3.5230,3.5673,3.4727,3.4226,3.4935,3.4872,3.5396,4863844,108.5060,217011.95,5273272,11.6909,23381.72,1062925,-0.01,-12.116772,1008995,-0.01,-11.580918,2008791,0.01,23.929358,141629,0.00,0.011432,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,934.00,55.30,1104.00,49.37,1053.00,51.06,930.00,55.45,913.00,56.09,923.00,55.71,1013.00,52.43,1104.00,49.37,1258.00,44.62,1181.00,46.93,1143.00,48.12,1120.00,48.85,1015.00,52.36,1000.00,52.89,1064.00,50.69,1140.00,48.21,1080.00,50.15,1126.00,48.66,1191.00,46.62,1073.00,50.39,1200.00,46.35,1192.00,46.59,1070.00,50.49,4091.00,-83.54,1063.00,50.72,1000.00,52.89,936.00,55.22,914.00,56.05,968.00,54.04,969.00,54.00,1043.00,51.40,1118.00,48.91,56.17,3.35,3.58,1.00,1.00,0x0,6,
Yes,0.00,117.55,27.62,34.89,14.92,3.34,1.86,29.47,0x0,0x0,0,0,83.34,5.40,0.00,Yes,0.00,117.44,28.79,28.14,14.90,3.29,1.86,33.65,0x0,0x0,0,0,82.31,5.34,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.7314,3.7897,3.7900,3.7908,3.7897,3.7902,3.7876,3.7883,3.7888,3.7900,3.8360,3.7294,3.8109,3.7886,3.7887,3.7860,3.8251,3.7920,3.7895,3.8270,3.7921,3.7882,3.7263,3.7896,3.7886,3.7893,3.7905,3.7903,3.7884,3.7882,3.7738,5289000,118.0039,236007.80,5289049,11.7257,23451.49,71782,0.00,0.005505,69020,-0.00,-0.000573,71948,0.00,0.016395,142031,0.00,0.008963,Yes,1,Yes,Yes,Yes,Yes,Yes,No,0x0,0x0,933.00,55.33,1103.00,49.40,1051.00,51.12,932.00,55.37,913.00,56.09,923.00,55.71,1013.00,52.43,1104.00,49.37,1261.00,44.53,1177.00,47.05,1142.00,48.15,1124.00,48.72,1015.00,52.36,1001.00,52.85,1063.00,50.72,1140.00,48.21,1082.00,50.09,1126.00,48.66,1192.00,46.59,1074.00,50.35,1199.00,46.38,1192.00,46.59,1073.00,50.39,4092.00,-86.62,1062.00,50.75,999.00,52.93,936.00,55.22,914.00,56.05,970.00,53.97,971.00,53.93,1043.00,51.40,1118.00,48.91,56.05,3.73,3.84,1.00,1.00,0x0,6,
